name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
ML-For-Beginners,microsoft,2021-03-03T01:34:05Z,2025-08-11T20:01:49Z,HTML,374,0,6,140,76457
awesome-interview-questions,DopplerHQ,2015-11-28T09:48:17Z,2025-08-11T18:43:59Z,None,175,0,27,34,76433
LeetCodeAnimation,MisterBooo,2018-12-06T08:01:22Z,2025-08-11T12:29:45Z,Java,63,0,20,42,76370
playwright,microsoft,2019-11-15T18:32:42Z,2025-08-11T16:44:34Z,TypeScript,14993,150,819,15435,75841
Font-Awesome,FortAwesome,2012-02-17T14:19:43Z,2025-08-11T19:20:38Z,JavaScript,211,60,3850,15881,75549
netdata,netdata,2013-06-17T18:39:10Z,2025-08-11T19:55:44Z,C,10884,119,166,7943,75428
funNLP,fighting41love,2018-08-21T11:20:39Z,2025-08-11T17:51:47Z,Python,14,0,34,47,75368
system-design-101,ByteByteGoHq,2023-09-18T20:52:03Z,2025-08-11T18:51:58Z,None,23,0,37,17,75291
gpt4all,nomic-ai,2023-03-27T18:49:32Z,2025-08-11T20:05:51Z,C++,934,38,697,1486,75072
github-readme-stats,anuraghazra,2020-07-09T10:34:22Z,2025-08-11T19:39:01Z,JavaScript,1296,0,196,1108,74921
system-prompts-and-models-of-ai-tools,x1xhlol,2025-03-05T16:38:29Z,2025-08-11T20:05:51Z,None,22,0,44,52,74873
json-server,typicode,2013-11-27T13:21:13Z,2025-08-11T18:13:52Z,JavaScript,121,38,619,549,74748
vite,vitejs,2020-04-21T05:03:57Z,2025-08-11T16:05:58Z,TypeScript,5558,595,468,7599,74662
syncthing,syncthing,2013-11-26T09:48:21Z,2025-08-11T19:45:23Z,Go,2743,436,327,5346,74271
union,unionlabs,2023-05-16T22:33:39Z,2025-08-11T18:51:41Z,Rust,2722,92,226,1590,73903
elasticsearch,elastic,2010-02-08T13:20:56Z,2025-08-11T19:34:05Z,Java,80149,197,4282,36147,73490
hoppscotch,hoppscotch,2019-08-21T13:15:24Z,2025-08-11T18:44:41Z,TypeScript,1861,83,486,1552,73459
weekly,ruanyf,2018-10-13T12:36:07Z,2025-08-11T18:32:22Z,None,101,0,5950,1070,73411
code-server,coder,2019-02-27T16:50:41Z,2025-08-11T19:14:10Z,TypeScript,1575,198,133,3569,73351
awesome-vue,vuejs,2015-10-20T00:16:14Z,2025-08-11T13:46:45Z,None,3574,0,38,190,73152
uptime-kuma,louislam,2021-07-03T01:02:42Z,2025-08-11T19:34:17Z,JavaScript,1317,111,705,3445,73068
fzf,junegunn,2013-10-23T16:04:23Z,2025-08-11T18:43:59Z,Go,589,70,232,2779,72731
immich,immich-app,2022-02-03T15:56:27Z,2025-08-11T20:01:38Z,TypeScript,7087,258,560,5634,72628
Best-websites-a-programmer-should-visit,sdmg15,2017-03-05T20:25:17Z,2025-08-11T19:14:57Z,None,431,0,71,103,72536
Deep-Live-Cam,hacksider,2023-09-24T13:19:31Z,2025-08-11T19:55:34Z,Python,85,8,66,904,72435
nest,nestjs,2017-02-04T20:12:52Z,2025-08-11T19:22:59Z,TypeScript,7393,131,30,5638,72162
d2l-zh,d2l-ai,2017-08-23T04:40:24Z,2025-08-11T17:52:01Z,Python,1019,16,0,0,71574
